country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.609370282,3.791467517,4.002720057,4.261471056,4.539381135,4.812361615,5.104041709,5.438491182,5.825357067,6.209262661,6.663744217,7.188974882,7.436852278,,
Bulgaria,BGR,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,2.142522629,2.250366306,2.305833314,2.387969439,2.472225698,2.541809433,2.752385618,3.037879665,3.513417697,3.548439998,5.062650362,4.727529633,4.472929398,4.498255049,4.677186464,4.915275499,5.285685903,4.642430241,4.93002134,4.623254278,4.953101639,5.406344535,5.067649607,5.396427821,5.816885623,6.303152408,6.814889333,7.359066154,7.538825557,7.649249305,7.976091555,7.601623566,8.55751623,8.893322075,9.13297262,9.020854214,9.197693915,9.50353578,10.17781165,10.59466496,10.8688487,,
Bahrain,BHR,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.20891898,50.52475992,51.44060605,55.36401876,52.77418988,52.51702481,52.44637547,51.95053459,52.3868363,52.65460274,53.50179447,58.13920848,63.93947117,72.86623067,79.76352249,87.18772768,95.08715741,105.5444313,115.0068903,121.0267855,129.6801179,135.9203771,145.0094919,157.3531263,169.165983,195.1642885,207.3208239,216.2168564,220.7814763,225.5657329,214.4321354,,
"Bahamas, The",BHS,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.71535544,29.26951556,30.585477,31.60832425,33.46575569,34.79751997,36.51753023,37.74357712,39.56470382,34.98384344,34.84094418,36.15510511,34.7028462,35.67316602,38.13226882,38.7372559,39.85265471,43.03443945,57.36462545,60.24369575,59.18202608,,
Belarus,BLR,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.712339424,10.13061651,11.45336957,12.60290909,13.23118184,14.21653297,15.10372276,16.09867354,17.48929731,19.78659539,21.97897366,24.63314622,27.26617748,30.63663698,31.31202247,34.44284894,36.56311766,37.45623691,38.11529866,37.36651784,38.98807624,37.89837174,40.38787168,41.86956295,43.45616656,44.12696644,,
Belize,BLZ,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.63374114,26.2794553,26.19373495,26.11011776,26.32222299,26.92063852,26.3069785,21.07118968,17.66282633,15.52987986,14.23952499,13.27466184,13.11258135,13.55257045,14.23589333,14.96378074,16.36013619,17.1177333,17.49405605,18.29621769,18.89536311,18.60816944,18.52399198,18.75671789,18.73691143,19.45984723,20.34123471,21.17310604,21.88613861,21.91089669,21.53952556,21.77720308,22.75762287,19.70742798,,
Bermuda,BMU,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.640543654,8.485251449,8.421673425,8.442825422,8.530029339,8.33524591,8.367582918,8.443806268,8.532610123,8.606572257,8.740292362,8.891779458,8.658021288,8.807191986,8.887437216,9.039650586,9.215250257,9.528509357,9.876430528,10.27443428,10.6653226,11.24380293,11.62125734,12.10083439,12.730573,13.38266804,14.29215568,15.07258878,15.80469265,16.47859223,17.16990317,17.89509524,18.29177685,16.69346253,,
Brazil,BRA,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54422697,24.95887355,24.30941725,22.02190206,21.13133756,20.01095285,20.0378282,20.28451701,20.25683778,19.88739035,20.44322544,20.39401022,20.37191822,21.14454691,21.31686237,21.84389353,21.96921573,23.10508115,23.71271699,24.51627027,24.2531975,23.88378318,22.43950118,22.77832287,24.48769214,25.83525408,27.58083793,28.7359009,28.22133376,26.28827218,26.89152338,27.03366927,26.98228656,26.03223245,,
Barbados,BRB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,59.46189899,56.56448282,57.29461322,57.68478948,58.8175405,61.74487825,62.74910017,59.97863794,55.61314375,54.52868915,55.14688007,54.45595471,55.9346711,56.10872175,56.81303505,57.60599997,54.54019802,51.34352436,47.4523679,46.89087984,46.91387355,46.95572335,47.91877907,50.19017823,52.06150141,52.23572805,54.55874993,53.26818222,53.68761673,54.85558051,55.62992113,66.91796379,71.00846657,72.48377321,72.9477405,69.28740927,67.64864792,67.18337468,66.89268624,65.92447694,65.86694929,67.49558857,69.20526862,69.5210457,68.80696786,68.71672941,59.56983076,,
Brunei Darussalam,BRN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.4343648,120.8288699,113.7386122,110.5152077,115.4648604,118.788306,117.0407262,116.3870434,119.9393588,123.3569371,126.7419015,131.6494708,135.4725128,136.1557254,136.6833387,142.6942887,142.9148682,140.1427275,137.6698593,141.2478518,146.5380335,147.8756937,144.7318143,141.1014301,140.5477711,137.0651129,138.8861635,138.9587146,144.3351799,145.9713251,,
Bhutan,BTN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.794822587,4.050909881,4.534827362,4.896825264,5.14746441,5.256589247,5.560235898,5.929559671,6.411456975,6.709707353,6.914697625,7.312650228,6.580675932,,
Botswana,BWA,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,33.57999185,35.04718402,37.87950992,43.760581,47.90175734,49.56937509,51.6642422,51.61853357,48.27822517,46.22555794,45.97923444,45.4520945,46.19145701,43.6942077,45.28100928,43.77202547,43.81600329,46.40594616,48.48015623,49.71772343,51.9058136,56.16355669,59.3286901,61.16733283,52.43798148,57.66055117,61.51280747,62.29215439,70.38504727,75.68162423,72.01031484,72.05761268,78.24769092,77.13012202,80.25599258,67.12866446,,
Central African Republic,CAF,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.81493078,65.04186666,57.35120925,49.42982516,43.92107883,37.14344754,33.99567001,32.7829387,32.51851255,29.04816903,28.60005481,28.11718839,27.45422694,25.31496011,25.95127045,26.39677708,24.52239021,25.53275812,25.31687748,26.52476733,27.74690523,28.316863,30.74850577,32.17241324,33.52192222,35.21604014,22.40022688,22.41838686,23.39069943,24.50183176,25.61109785,26.58161596,27.40564605,27.65229687,,
Canada,CAN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03644919,25.02119807,26.36396093,27.78277613,28.33504119,29.2470472,29.83202799,30.81305424,31.86265286,32.76619028,33.51002113,34.91235235,34.99060641,37.62185488,40.54837801,40.31175444,40.32119682,42.35901547,43.5630791,43.67963571,44.68279679,45.92365618,46.78683356,44.33846719,,
Central Europe and the Baltics,CEB,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.078051192,10.34700093,11.37650788,12.0294513,13.27202459,14.25973097,14.81359965,15.41393227,17.5097844,18.75740633,20.3936206,21.64559076,23.79133877,25.72632467,28.07271098,28.77999829,30.42707448,29.51854207,32.07996064,32.07672483,33.953431,34.44565366,38.42940797,39.77876456,41.12675828,41.9739216,45.52410473,50.08967589,49.52007887,,
Switzerland,CHE,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,146.176329,147.8660129,145.2928741,145.5859567,149.3169395,154.1352921,156.585853,158.649886,163.419737,170.0507817,175.499861,173.4397587,172.9136124,174.4682901,178.5158713,181.2539464,184.0366691,190.2126718,196.5924016,200.4916923,209.0882535,213.0570833,213.5791935,217.9547859,228.6022657,239.9904077,255.3126568,271.3365372,285.437532,285.5142708,301.9579462,315.1116735,327.7309018,387.9119903,400.7554189,406.8886038,415.7730854,421.4392392,433.4942802,438.4447083,428.0291768,,
Channel Islands,CHI,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.242012553,4.292662552,4.29139188,4.459900228,4.553999126,4.684765513,4.68349504,4.489348706,4.536423558,4.511668173,4.494951266,4.554722639,4.701218328,4.819406758,4.955392038,5.210319339,5.407758806,5.347298048,5.660203269,6.012488479,6.382577588,6.593745694,6.711948441,6.856385712,6.976580811,7.071301526,7.353448541,7.410109773,6.967116807,,
China,CHN,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,0.952827724,0.98297294,1.05210071,1.144577709,1.295298123,1.457567755,1.5756127,1.74565027,1.926621986,1.992335989,2.05475491,2.207698763,2.480430953,2.779286333,3.11998413,3.438072061,3.753547473,4.072592481,4.362693696,4.665682505,5.028331849,5.441159004,5.931251829,6.51907681,7.170090738,7.977868008,8.772660514,10.0087509,10.83369385,11.7076352,12.87272077,13.90853449,14.90706023,15.95816394,17.41474316,18.69137053,19.56745231,21.20061624,22.7579539,23.74334753,25.71161678,,
Cote d'Ivoire,CIV,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.15583827,26.61699703,23.71859696,20.67916675,20.08507741,19.46890183,18.89661717,18.53964241,19.39680215,20.41907426,21.88962843,22.32477151,22.10278172,21.5829586,20.70536265,19.75395863,18.46645239,18.70286619,18.54678385,19.61366652,20.42734588,22.06134638,23.5666789,25.98827252,25.40760573,28.26919405,32.42889908,36.78131793,39.42739929,42.25797422,45.36800819,48.49399294,51.51599771,52.53540719,,
Cameroon,CMR,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81526273,42.14570235,41.29576365,38.696509,37.14811938,35.92453344,28.10108371,24.88606331,22.64590764,21.15473501,20.03613232,19.18179175,18.46235114,17.76548782,18.07729221,18.43268376,18.98162909,19.85364188,19.84103352,20.59689422,21.48824315,22.1001591,22.67017784,23.3273919,24.11567376,25.2312597,26.49169464,28.00697139,29.5941133,30.93644138,32.03195539,33.29898395,34.45614361,34.54570647,,
"Congo, Dem. Rep.",COD,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.38986675,40.1352637,36.30521408,34.28931609,31.56462963,28.29663041,26.78964226,26.69966366,27.31759761,28.28409197,29.14548234,30.6963075,32.61773605,34.64848181,35.63771814,38.1708388,40.79495834,43.68605581,47.39148812,51.87959858,55.46767832,56.79856919,58.91542213,62.3449602,65.07849299,66.20787997,,
"Congo, Rep.",COG,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.7140285,133.7208988,135.8524038,135.8787877,137.795761,140.0482965,137.3680002,128.6089796,132.4961825,136.9131921,134.8208532,138.5998551,133.8153865,142.6792917,146.8056521,152.1970346,153.4347984,158.7691611,171.0829146,184.746004,172.5269129,183.4071086,204.7507236,225.0850615,230.0502564,252.9337078,251.1317209,267.9994333,258.4838943,230.6109601,220.5043634,209.9083535,209.7259726,196.6404988,,
Colombia,COL,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2699637,19.35333084,18.69939967,18.37663723,18.35947112,18.30308713,18.62022151,18.98805562,18.76903105,16.20161753,14.75978029,13.99181924,13.05591185,12.45544543,11.91293382,11.30697984,10.70664758,11.01743664,11.4746853,11.38287301,10.26051087,,
Comoros,COM,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.21073042,64.52535979,66.03067649,67.56585331,68.98735214,70.31167461,72.30680203,74.22073089,74.81452817,77.78063332,80.30130199,83.33489787,86.78788494,89.53768086,93.53665512,95.50715217,96.6029542,99.81060368,103.6191396,107.3934162,109.2843782,109.0706652,,
Cabo Verde,CPV,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.09859534,39.89030611,39.39634158,41.26867368,44.12135341,47.64389216,54.87179837,58.52105858,57.77759186,58.62506785,60.95183017,61.61127916,62.10589303,62.48549211,63.11463586,66.08467903,68.53115975,71.6364174,75.69659221,64.5060584,,
Costa Rica,CRI,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.94324773,21.32516221,19.84671781,17.67113324,20.12341913,25.10666622,20.58604283,20.51619614,19.69797168,,
