"","mortality_rate","health_expenditure","health_expenditure_per","education_expenditure","domestic_health_expenditure","literacy_rate","water_invest","water_productivity","immunazation","GDP_per_capita"
"3124",-0.458691609255323,-0.242268197005297,-0.0557541135052448,0.503247013336908,0.56634035730522,0.333520935320465,0.55612171375429,-0.324383539090262,0.683162647499677,-0.125841640762374
"3125",-0.421673219097528,-0.544168934562709,-0.68033728373459,-1.30312300494982,-1.48221515121506,0.41481560155568,-0.317149103034329,-0.357357287719975,0.750527719429505,-0.402677423761488
"3126",-0.438284035193974,-0.546653979834102,-0.84390538717256,-1.0589265699636,-1.31007870473192,0.554457939605471,-0.297043656793893,-0.367571359614523,0.211607143990882,-0.345265423823799
"3127",-0.450148903834293,-0.536753637861424,-0.594193403129799,-1.0589265699636,-1.34524830995927,0.554457939605471,-0.297043656793893,-0.367571359614523,0.346337287850537,-0.345265423823799
"3128",-0.459640798746548,-0.531199533955312,-0.719447389053227,-1.0589265699636,-1.3052808850928,0.554457939605471,-0.297043656793893,-0.367571359614523,0.211607143990882,-0.345265423823799
"3129",-0.466759719930739,-0.517683908338768,-0.591218276997132,-0.567806756076464,-1.38379648193323,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.60724979811447,-0.276195650767607
"3130",-0.469132693658803,-0.507526040016021,-0.551100748786169,-0.567806756076464,-1.37982932190698,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.87671008583378,-0.276195650767607
"3131",-0.469132693658803,-0.500223204054614,-0.460738037814093,-0.567806756076464,-1.39259455498897,0.55239574657922,-0.258806906318524,-0.358992458244768,-2.48299573320224,-0.276195650767607
"3132",-0.469132693658803,-0.491584551105256,-0.512524670169096,-0.567806756076464,-1.37805999121295,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.47251965425482,-0.276195650767607
"3133",-0.466759719930739,-0.48611511743499,-0.588200546690655,-0.567806756076464,-1.31272313244413,0.55239574657922,-0.258806906318524,-0.358992458244768,-3.22401152443034,-0.276195650767607
"3134",-0.317262375062723,-0.476920562245042,-0.375803504036738,-0.567806756076464,-1.41393986365403,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.53988472618464,-0.276195650767607
"3135",-0.466759719930739,-0.469120224009073,-0.366809587414668,-1.0589265699636,-1.41041372955453,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.596773719167054,-0.345265423823799
"3136",-0.469132693658803,-0.453245301259419,-0.314474949470599,-1.0589265699636,-1.42861168716668,0.819205444364882,-0.297043656793893,-0.367571359614523,-0.327313431447742,-0.345265423823799
"3137",-0.47387864111493,-0.462147136937004,-0.442150835928601,-1.0589265699636,-1.34158245028027,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.327313431447742,-0.345265423823799
"3138",-0.476251614842994,-0.432022146195895,0.0417356587387879,-1.0589265699636,-1.4976144056145,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.192583287588086,-0.345265423823799
"3139",-0.480997562299122,-0.431189210987706,0.0974866548505294,-1.0589265699636,-1.50189046107367,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.596773719167054,-0.345265423823799
"3140",-0.485743509755249,-0.452014427014043,-0.189082195364034,-1.0589265699636,-1.46556527178756,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.462043575307398,-0.345265423823799
"3141",-0.490489457211377,-0.458027278273628,-0.430760617300663,-1.0589265699636,-1.41133395542768,0.554457939605471,-0.297043656793893,-0.367571359614523,-0.866234006886365,-0.345265423823799
"3142",-0.495235404667504,-0.448848058948901,-0.303257015863189,-0.567806756076464,-1.46338253436528,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.33778951039516,-0.276195650767607
"3143",-0.502354325851695,-0.460631635598002,-0.434152051514545,-0.567806756076464,-1.39980553751592,0.8255378526957,-0.258806906318524,-0.358992458244768,-2.8871861647812,-0.276195650767607
"3144",-0.51184622076395,-0.435700604961755,-0.108272016147828,-0.567806756076464,-1.50895047278467,0.55239574657922,-0.258806906318524,-0.358992458244768,-1.27042443846533,-0.276195650767607
"3145",-0.521338115676205,-0.457892632689662,-0.352044947281564,-1.0589265699636,-1.47622539857296,0.554457939605471,-0.297043656793893,-0.367571359614523,0.144242072061054,-0.345265423823799
"3146",-0.543644068720004,-0.213702928807396,0.00903013930742262,0.36934654068843,0.366839148623732,0.568628447977585,0.191045452807659,-0.331624763185054,-0.125218215658258,-0.0794503509217604
"3147",-0.794230094403536,0.745731613650983,-0.171643547332109,-0.236154278972266,-0.749491234964559,0.550655418670765,-0.44439025584288,-0.350797187254846,0.750527719429505,-0.216497357961077
"3148",-0.803721989315791,0.754098539059233,-0.222457446191716,-0.414224586625041,-0.808770278552996,0.401904318824227,-0.492805738502648,-0.350456602532883,0.683162647499677,-0.277018923165027
"3149",-0.813213884228046,0.771568512132036,-0.311005374052577,-0.693939346214907,-0.767131671606478,0.552598519261978,-0.319193250075488,-0.35864029041681,0.615797575569849,-0.279566812670648
"3150",-0.822705779140301,0.90883882996607,-0.532400878762676,-1.0589265699636,-0.841675471518986,0.554457939605471,-0.297043656793893,-0.367571359614523,0.615797575569849,-0.345265423823799
"3151",-0.829824700324492,1.17065279770727,-0.498742868027888,-1.0589265699636,-0.880648590758888,0.554457939605471,-0.297043656793893,-0.367571359614523,0.548432503640021,-0.345265423823799
"3152",-0.834570647780619,1.2255936707752,-0.491055980919091,-0.693939346214907,-0.937689756789396,0.552598519261978,-0.319193250075488,-0.35864029041681,0.615797575569849,-0.279566812670648
"3153",-0.841689568964811,1.33097290929811,-0.482030740711053,-1.0589265699636,-0.97852335137128,0.554457939605471,-0.297043656793893,-0.367571359614523,0.346337287850537,-0.345265423823799
"3154",-0.846435516420938,1.66140830569423,-0.41632235487675,-1.0589265699636,-1.03165624644048,0.554457939605471,-0.297043656793893,-0.367571359614523,0.27897221592071,-0.345265423823799
"3155",-0.851181463877066,2.00429664948668,-0.304810427683448,-1.0589265699636,-1.05029661081003,0.554457939605471,-0.297043656793893,-0.367571359614523,0.27897221592071,-0.345265423823799
"3156",-0.855927411333193,1.92848172032925,-0.0285305613778577,-0.614613571231724,-1.07704293092835,0.557093038492678,-0.45790122772451,-0.359374698902347,0.211607143990882,-0.277193461381834
